"id","name","packaging_signalled","bottlesize_signalled","fill_level_signalled","state_signalled","bottlesize_l","fill_level","state","packaging","sold","price"
43211,"Schwarz Wine Company Shiraz Nitschke Block 2005 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,120
43212,"Shirvington Shiraz 2005 0,75 l",NULL,1,1,1,0.75,"in","in","None",NULL,0
43213,"Concordis Shiraz 2014 1,5 l",NULL,1,1,1,1.5,"2 cm","2 cm, Etikett leicht verschmutzt","None",NULL,0
43214,"Kangarilla Road Zinfandel 2003 0,75 l",NULL,1,1,1,0.75,"in","in","None",NULL,0
43215,"Gaja, Angelo Barbaresco 1994 0,375 l",NULL,1,1,1,0.37,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt, verschmutzt","None",1,95
43216,"Antinori Solaia 2015 0,75 l",1,1,1,1,0.75,"ts","ts","6er OHK",1,2.12
43217,"Biondi Santi-Il Greppo Brunello di Montalcino 1982 0,75 l",NULL,1,1,1,0.75,"ts","ts","None",1,165
43218,"Biondi Santi-Il Greppo Brunello di Montalcino Riserva 1983 0,75 l",NULL,1,1,1,0.75,"ts","ts","None",NULL,0
43219,"Tenuta San Guido Sassicaia 2015 0,75 l",1,1,1,1,0.75,"in","in, OHK mit Originalband verschlossen, Füllstand geschätzt","6er OHK",1,1.58
43220,"Tenuta San Guido Sassicaia 2015 0,75 l",1,1,1,1,0.75,"in","in, OHK mit Originalband verschlossen, Füllstand geschätzt","6er OHK",1,1.48
43221,"Tenuta San Guido Sassicaia 2016 0,75 l",1,1,1,1,0.75,"in","in, OHK mit Originalband verschlossen, Füllstand geschätzt","6er OHK",1,3.02
43222,"Tenuta San Guido Sassicaia 2016 0,75 l",1,1,1,1,0.75,"in","in, OHK mit Originalband verschlossen, Füllstand geschätzt","6er OHK",1,2.62
43223,"Dow´s Vintage Port Quinta do Bomfim 1978 0,75 l",NULL,1,1,1,0.75,"ts","ts","None",1,90
43224,"Fonseca, Jose Maria Moscatel de Setubal Roxo Superior  1962 0,5 l",NULL,1,1,1,0.5,"ts","ts, Etikett leicht verschmutzt","None",1,170
43225,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1997 0,75 l",1,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht verschmutzt","lose",1,500
43226,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1997 0,75 l",1,1,1,1,0.75,"2 cm","2 cm, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt, Kapsel oxidiert","lose",1,250
43227,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1997 0,75 l",1,1,1,1,0.75,"3 cm","3 cm, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt, Kapsel oxidiert","lose",1,250
43228,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1997 0,75 l",1,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett verschmutzt, Kapsel ganz leicht beschädigt, Kapsel oxidiert","lose",1,260
43230,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1997 0,75 l",1,1,1,1,0.75,"1,5 cm","1,5 cm, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","lose",1,250
43231,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1999 0,75 l",1,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht verschmutzt","lose",1,640
43232,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1999 0,75 l",1,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht verschmutzt","lose",1,640
43233,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1999 0,75 l",1,1,1,1,0.75,"1 cm","1 cm, Etiketten ganz leicht verschmutzt, 1 x Kapsel oxidiert","lose",1,640
43234,"Weingut Egon Müller Scharzhofberger Riesling Auslese 1999 0,75 l",1,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","lose",1,640
43235,"Chateau des Tours (Chateau Rayas) Cotes du Rhone Reserve rouge 2010 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,390
43236,"Chateau des Tours (Chateau Rayas) Cotes du Rhone Reserve rouge 2011 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
43237,"Chateau Rayas Chateauneuf-du-Pape Reserve 2010 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,1.9
43238,"Chateau Rayas Chateauneuf-du-Pape Reserve 2011 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,1.85
43239,"Chateau Rayas Chateauneuf-du-Pape Reserve blanc 2005 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht beschädigt","None",1,570
43240,"Chateau Rayas La Pialade 1998 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt","None",NULL,0
43241,"Domaine Jean-Louis Chave Hermitage 2007 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,275
43242,"Domaine Jean-Louis Chave Hermitage 2009 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None",1,490
43243,"Domaine Jean-Louis Chave Hermitage 2011 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,285
43244,"Domaine Jean-Louis Chave Hermitage 2011 1,5 l",NULL,1,1,1,1.5,"1 cm","1 cm","None",1,550
43245,"Giovanni Rosso Nebbiolo Ester Canale  2015 0,75 l",1,1,1,1,0.75,"3 cm","3 cm","6er OHK",NULL,0
43246,"Weingut Egon Müller Scharzhofberger Riesling Spätlese 2006 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,130
43247,"Selot, Jacques Clos Saint Denis Grand Cru 1976 0,75 l(1)",NULL,1,1,1,0.75,"2,5 cm","2,5 cm, Etikett ganz leicht beschädigt, verschmutzt, kellergrau","None",1,265
43248,"Selot, Jacques Echezeaux Grand Cru 1976 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm, Etiketten leicht beschädigt, verschmutzt, kellergrau","None",1,270
