"id","name","winepoints_signalled","packaging_signalled","vintage_signalled","bottlesize_signalled","origin_signalled","fill_level_signalled","state_signalled","min_price_signalled","max_price_signalled","sold","price","minimum_price","maximum_price"
26360,"Yalumba Shiraz ""Octavius"" 1993 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","80","160"
26361,"Kalleske Shiraz Greenock 2007 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","150","300"
26362,"Lamy, Hubert Criots Batard Montrachet 1er Cru 1997 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"170","160","320"
26363,"Chateau Maucaillou 1984 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"120","120","180"
26364,"Spioenkop Wines Riesling 2015 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"60","60","120"
26365,"Gibson Grenache ""Old Vine Collection"" 2004 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","180","300"
26366,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2016 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"310","300","600"
26367,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2016 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"300","300","600"
26368,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2016 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"310","300","600"
26369,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2018 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"270","240","480"
26370,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2018 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"290","240","480"
26371,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2018 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"290","240","480"
26372,"Weingut Keller Westhofener Morstein Riesling Grosses Gewächs 2013 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","320","500"
26373,"Weingut Keller Westhofener Morstein Riesling Grosses Gewächs 2013 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","320","500"
26374,"Weingut Keller Westhofener Morstein Riesling Grosses Gewächs 2013 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","320","500"
26375,"Weingut Keller Westhofener Morstein Riesling Grosses Gewächs 2013 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","320","500"
26376,"Chateau d´Arche 2000 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","60","120"
26377,"Couvent des Jacobins 1980 0,75 l(3)",NULL,1,1,1,1,1,1,1,1,NULL,"0","115","230"
26378,"Chateau Grand-Puy-Lacoste 2000 1,5 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","320","630"
