"id","name","winepoints_signalled","sold","winepoints"
21669,"Leflaive, Olivier Puligny-Montrachet Les Pucelles 1er Cru 2005 1,5 l",1,1,92
21670,"Masi Amarone della Valpolicella Classico 1996 0,75 l",NULL,1,0
21671,"Blankiet Paradise Hills Vineyard ""Prince of Hearts"" 2012 0,75 l",NULL,NULL,0
21672,"Schäfer, Willi Graacher Domprobst Riesling Auslese 2004 0,75 l",NULL,NULL,0
21673,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",NULL,1,0
21674,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",NULL,1,0
21675,"Domaine des Comtes Lafon Le Montrachet Grand Cru 1985 0,75 l",NULL,NULL,0
21676,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",1,NULL,91
21677,"Burlotto Barolo Monvigliero 2010 0,75 l",1,1,90
21678,"Domaine Weinbach/Faller, Colette Gewürztraminer Mambourg Vendanges Tardives 2001 0,75 l",1,1,93
21679,"Druk-My-Niet Cabernet-Sauvignon 2014 0,75 l",NULL,NULL,0
21680,"Knoll, Emmerich Dürnsteiner Schütt Riesling Smaragd 1999 0,75 l",1,1,93
21681,"Domaine Ponsot Griotte Chambertin Grand Cru 1996 0,75 l",NULL,1,0
21682,"Moet & Chandon Dom Perignon Brut 1966 0,75 l",NULL,1,0
21683,"Prieur, Jacques Le Montrachet Grand Cru 2003 0,75 l",NULL,1,0
21684,"Weingut von Winning Sauvignon Blanc ""500"" 2013 0,75 l",NULL,1,0
21685,"Poggio di Sotto Brunello di Montalcino 2010 0,75 l",1,1,95
21686,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",NULL,1,0
21687,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",NULL,1,0
21715,"Berthaut, V. & D. Gevrey Chambertin Clos des Chezeaux 1er Cru 1995 0,75 l",NULL,1,0
22161,"Kalleske Shiraz ""Johann Georg"" Old Vine 2014 0,75 l",NULL,NULL,0
21688,"Bryant Family Cabernet Sauvignon 1996 0,75 l",1,1,99
21689,"Chateau Margaux Pavillon Blanc 1998 0,75 l",1,1,91
21690,"Pichler, F.X. Loibner Berg Riesling Smaragd 2001 0,75 l",NULL,1,0
21691,"Grosset Polish Hill Riesling  2001 0,75 l",1,1,93
21692,"Salon Le Mesnil Blanc de Blancs Grand Cru Brut 1988 0,75 l",NULL,1,0
21693,"Penfolds Grange Hermitage 1994 0,75 l",1,NULL,91
21694,"Chateau Cheval Blanc 2003 1,5 l",1,1,92
21695,"Roederer, Louis Cristal Brut 2007 0,75 l",1,1,95
21696,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2010 0,75 l",1,1,96
21697,"Domaine Jean Marie Fourrier Gevrey Chambertin Clos St. Jacques 1er Cru 2002 0,75 l",NULL,1,0
21698,"Chateau Cheval Blanc 1982 0,75 l",1,1,92
21699,"Mascarello, Bartolo Barolo 1985 0,75 l",NULL,NULL,0
21700,"Domaine Armand Rousseau Chambertin Grand Cru 2001 0,75 l",1,NULL,95
21701,"Fürst, Rudolf Bürgstadter Hundsrück Spätburgunder  Grosses Gewächs 2012 0,75 l",NULL,1,0
21702,"Bodegas Vega Sicilia Unico Gran Reserva 1998 1,5 l",1,1,98
21703,"Ridge Cabernet Sauvignon ""Monte Bello"" 1995 0,75 l",1,1,95
21704,"Penfolds Grange Hermitage 1982 0,75 l",1,1,94
21705,"Autreau de Champillon Cuvee Millinaire 2000 Grand Cru Brut NV 0,75 l",NULL,1,0
21706,"Mas Blanc Banyuls 1979 0,75 l(3)",NULL,1,0
21707,"Chateau Coutet 1997 0,75 l",1,1,90
21708,"Chateau Montrose La Dame de Montrose, 2e vin de Montrose 2010 0,75 l",1,1,94
21709,"Chateau Haut-Brion 1993 0,75 l",1,1,90
21710,"Chateau Haut-Brion 1993 0,75 l",1,1,90
21711,"Chateau Haut-Brion 1993 0,75 l",1,1,90
21712,"Gantenbein Pinot Noir 2004 0,75 l",NULL,1,0
22191,"Latour, Louis Chablis La Chanfleure 2016 0,75 l(2)",NULL,1,0
21716,"La Rioja Alta Gran Reserva 904 2001 0,75 l",1,1,96
21717,"Niepoort Late Bottled Vintage Port 2007 0,75 l(2)",NULL,1,0
21718,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",NULL,1,0
21719,"Gantenbein Pinot Noir  2015 0,75 l",NULL,1,0
21720,"Gantenbein Pinot Noir  2015 0,75 l",NULL,1,0
21721,"Gantenbein Pinot Noir  2015 0,75 l",NULL,1,0
21722,"Moet & Chandon Dom Perignon Brut 1982 0,75 l",1,1,96
21723,"Chateau Lafite-Rothschild 1989 0,75 l",1,1,90
21724,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2009 1,5 l",1,1,91
21725,"Ornellaia 2009 1,5 l",1,1,97
21727,"Pichler, F.X. Grüner Veltliner M Smaragd 2017 0,75 l",1,1,93
21728,"Weingut Pfeffingen Ungsteiner Herrenberg Riesling Großes Gewächs 2011 0,75 l",NULL,1,0
21729,"Almeida de, Manuel Vinho Velho Garrafeira Particular 1942 0,75 l",NULL,NULL,0
21730,"Peters, Pierre Cuvee Speciale Les Chétillons Blanc de Blancs Grand Cru Le Mesnil Brut 2002 0,75 l",1,1,96
21731,"Cossart Gordon & Co. Madeira Bual 1958 0,75 l",NULL,1,0
21732,"Tenuta San Guido Sassicaia 2002 0,75 l",NULL,1,0
21733,"Chateau Lynch-Bages 2001 0,75 l",1,1,91
21734,"Chateau Mouton-Rothschild 2003 0,75 l",1,1,91
21735,"Leitz, Josef Rüdesheimer Berg Rottland Riesling ""Alte Reben"" Goldkapsel trocken 2006 0,75 l",NULL,1,0
21736,"Flagman's Colheita Port 1941 0,75 l",NULL,NULL,0
21737,"Koehler-Ruprecht Kallstadter Saumagen Riesling Auslese trocken 2005 0,75 l",NULL,1,0
21738,"Gosset Grand Millesime Brut 1975 0,75 l",NULL,1,0
21739,"Clarendon Hills Cabernet Sauvignon ""Hickinbotham Vineyard"" 1998 0,75 l",NULL,NULL,0
21740,"Caymus Cabernet Sauvignon 1997 1,5 l",NULL,1,0
21741,"Ca ´del Bosco Franciacorta Cuvee Annamaria Clementi Brut 1990 3,0 l",1,1,90
21742,"Bodegas Muga Torre Muga 1994 0,75 l",1,1,91
21743,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2006 0,75 l",1,1,90
21744,"Erika Obermeyer Sauvignon Blanc 2017 0,75 l",NULL,1,0
21908,"Burgaud, Bernard Cote Rotie 1986 0,75 l(1)",NULL,1,0
21745,"Chateau L´If 2016 0,75 l",1,NULL,94
21746,"Clos Saint Jean Chateauneuf-du-Pape 2008 0,75 l",1,1,90
21747,"Quilceda Creek Cabernet Sauvignon 2015 0,75 l",1,1,96
21748,"Ridge Cabernet Sauvignon ""Santa Cruz"" 1995 0,75 l",NULL,1,0
21749,"Chateau La Tour Figeac 1986 0,75 l(1)",NULL,1,0
21750,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2005 0,75 l(2)",1,1,91
21751,"Chateau Lafite-Rothschild 1999 0,75 l",1,1,95
21752,"Chateau Lynch-Bages 2002 0,75 l(1)",1,1,91
21753,"Feudi di San Gregorio Serpico 2003 0,75 l",NULL,1,0
21754,"Chateau Leydet-Figeac 1994 0,75 l(1)",NULL,1,0
21755,"Il Marroneto Brunello di Montalcino Madonna delle Grazie 2004 0,75 l",NULL,1,0
21756,"Chateau l´Angelus 1988 0,75 l",1,1,91
21757,"Tenuta il Poggione Brunello di Montalcino 2004 0,75 l",1,1,94
21758,"Chateau La Mission-Haut-Brion 1986 0,75 l",1,1,97
21759,"Chateau l´Angelus 1994 1,5 l",1,1,92
21760,"Chateau Parempuyre 1948 0,75 l(1)",NULL,1,0
21761,"Chateau de Beaucastel Chateauneuf-du-Pape Hommage a Jacques Perrin 2003 0,75 l",1,NULL,95
21762,"Chateau Haut-Bailly 1990 0,75 l(1)",1,1,93
21763,"Bodegas Vega Sicilia Alion Reserva 1992 0,75 l(1)",NULL,1,0
21764,"Chateau Pontet-Canet 1949 0,75 l(1)",NULL,1,0
21765,"Chateau Montrose 2005 0,75 l",1,1,97
21766,"Chateau Haut-Brion 1996 0,75 l",1,1,95
21767,"Brancaia Il Blu 2013 0,75 l(1)",1,1,94
21768,"Kracher Chardonnay Nr. 3 Nouvelle Vague Trockenbeerenauslese 2000 0,375 l(1)",1,1,94
21769,"Chateau Batailley 1995 0,75 l(1)",NULL,1,0
21770,"Bacio Divino Proprietary Red 2000 0,75 l(5)",1,NULL,90
21771,"Chateau de Laubade Bas Armagnac 1979 0,7 l",NULL,NULL,0
21772,"Poggio Scalette Il Carbonaione 1997 0,75 l(1)",1,1,92
21773,"Chateau Margaux 1987 0,75 l",NULL,NULL,0
21774,"Lisini Brunello di Montalcino Ugolaia 2004 0,75 l",1,NULL,94
21775,"Kühn, Peter Jakob Mittelheimer St.Nikolaus Riesling Erstes Gewächs 2005 0,75 l",NULL,1,0
21776,"Kongsgaard Syrah 2004 0,75 l",1,1,90
21777,"Poggio Scalette Capogatto 2008 0,75 l",1,1,91
21778,"Prunotto Barolo Cannubi 1993 0,75 l",NULL,1,0
21779,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",1,1,94
21780,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2009 0,75 l",1,NULL,93
21781,"Chateau Grand-Puy-Ducasse 1989 0,75 l(1)",1,NULL,91
21782,"Weil, Robert Kiedricher Gräfenberg Riesling Erstes Gewächs 2015 0,75 l",1,1,95
21783,"Pommery Cuveé Louise Brut 2003 0,75 l",NULL,1,0
21784,"Chateau Palmer 1989 0,75 l",1,1,96
21785,"Deutz Blanc de Blancs Brut 1973 0,75 l",NULL,1,0
21786,"Schubert von, Carl Gutsverwaltung Maximin Grünhäuser Herrenberg Riesling Auslese trocken 1989 0,75 l(1)",NULL,NULL,0
21787,"Chateau Leoville-Barton 1996 0,75 l",1,1,93
21788,"Ornellaia 1995 0,75 l",1,1,92
21789,"Domaine Ramonet Chassagne-Montrachet Morgeot 1er Cru 1989 0,75 l",NULL,1,0
21790,"Chateau Mouton-Rothschild Le Petit Mouton 2005 0,75 l",1,1,91
21791,"Moet & Chandon Dom Perignon Brut 1978 0,75 l",NULL,1,0
21792,"Clos Saint Jean Chateauneuf-du-Pape 2008 0,75 l",1,1,90
21793,"Gaja, Angelo Barolo Sperss 1994 0,75 l",NULL,1,0
21794,"Quintarelli, Giuseppe Cabernet Franc Alzero 1984 0,75 l",NULL,1,0
22414,"Patz & Hall Chardonnay 2015 0,75 l",NULL,1,0
21795,"Chateau Pavie 1985 0,75 l",1,1,92
21796,"Chateau Mouton-Rothschild 1989 0,75 l(11)",1,1,93
21797,"Christoffel, Jos. jun. Erdener Prälat Riesling Auslese *** 2010 0,75 l",NULL,1,0
21798,"Comte Georges de Vogue Musigny Vieilles Vignes Grand Cru 2000 1,5 l",1,NULL,93
21799,"Chateau Larrivet-Haut-Brion 2001 0,75 l",1,1,90
21800,"Gaja, Angelo Barbaresco 1985 0,75 l",NULL,1,0
21801,"Krug Vintage Brut 1998 0,75 l",1,1,95
21802,"Moet & Chandon Dom Perignon ""Luminous"" Rose Brut 2002 1,5 l",1,1,98
21803,"Bodegas Riojanas Monte Real Gran Reserva 1994 0,75 l(2)",NULL,1,0
21804,"Bollinger Grande Annee Brut 2002 0,75 l",1,1,94
21805,"Bollinger Grande Annee Brut 2002 0,75 l",1,1,94
21806,"Koehler-Ruprecht Kallstadter Saumagen Riesling Auslese ""R"" trocken 2005 0,75 l",NULL,1,0
21807,"Koehler-Ruprecht Kallstadter Saumagen Riesling Auslese ""RR"" trocken 2007 0,75 l",NULL,1,0
21808,"Weingut Dr. von Bassermann-Jordan Forster Ungeheuer Riesling Eiswein 1996 0,375 l(1)",NULL,NULL,0
21809,"Chateau Sociando-Mallet 1995 0,75 l(1)",1,NULL,90
21810,"Chateau Pavie 1988 0,75 l(1)",NULL,NULL,0
21812,"Bodegas Alejandro Fernandez Dehesa La Granja 2001 0,75 l(1)",1,NULL,88
21813,"Allegrini Recioto della Valpolicella Classico 1990 0,75 l(1)",NULL,NULL,0
21814,"Chateau La Tour Haut Caussan 1989 0,75 l",NULL,NULL,0
21815,"Jadot, Louis Gevrey Chambertin Clos St. Jacques 1er Cru 1994 0,75 l",NULL,NULL,0
21816,"Villa Banfi Tavernelle 1984 1,5 l",NULL,NULL,0
21817,"Weingut Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese 1998 0,75 l(1)",NULL,NULL,0
21818,"Krug Rosé Brut NV 0,75 l",1,1,92
21819,"Chateau Mouton-Rothschild 1996 6,0 l",1,1,94
21820,"Chateau Rieussec 1975 0,75 l",NULL,1,0
21822,"Bodegas Gallego Zapatero Yotuel Vinas Viejas 2005 0,75 l",NULL,1,0
21936,"Chateau du Vieux Guinot 2010 0,75 l(1)",NULL,NULL,0
21823,"Domaine Allary Haut-Brion Allary Haut-Brion rouge 2010 0,75 l",1,NULL,90
21824,"Chateau Grand-Puy-Lacoste 1993 0,75 l",NULL,1,0
21825,"Domaine Allary Haut-Brion Allary Haut-Brion rouge 2010 0,75 l",1,NULL,90
21826,"Hirtzberger, Franz Hochrain Riesling Smaragd 2016 0,75 l",1,1,92
21827,"Bodegas Gallego Zapatero Yotuel Vinas Viejas 2005 0,75 l",NULL,1,0
21828,"Weingut Keller Dalsheimer Hubacker Riesling Auslese trocken 1997 0,75 l",NULL,1,0
21829,"Jadot, Louis Corton Charlemagne Grand Cru 1996 3,0 l",1,1,90
21830,"Chateau Mouton-Rothschild 2003 0,75 l",1,1,91
21831,"Teruzzi & Puthod Terre di Tufi bianco 2008 3,0 l",NULL,1,0
21832,"Weingut Johann Topf Grüner Veltliner Strassertal 2009 6,0 l",NULL,1,0
21833,"Ornellaia Masseto Merlot 2005 0,75 l",1,1,94
21834,"Hirtzberger, Franz Spitzer Honivogl Grüner Veltliner Smaragd 2017 1,5 l",1,1,95
21835,"Moet & Chandon Dom Perignon Brut 2002 1,5 l",1,1,96
21836,"Weingut Krutzler Perwolff 2000 0,75 l",1,1,93
21837,"Chateau Chasse-Spleen 1989 0,75 l",1,1,91
21838,"Chateau Haut-Brion 1988 0,75 l",1,1,92
21840,"Fürst von Metternich-Winneburg'sches Domänen Rentamt/ Schloß Johannisberg Schloß Johannisberg Rosalack Riesling Auslese 1953 0,75 l",NULL,NULL,0
21841,"Castellare Coniale 1991 0,75 l(1)",NULL,NULL,0
21842,"Pichler, F.X. Loibner Steinertal Riesling halbtrocken 2001 0,75 l",NULL,1,0
21843,"Weingut Friedrich Becker Blauer Spätburgunder Tafelwein 1996 1,5 l(1)",NULL,1,0
21844,"Weingut Müller-Catoir Mußbacher Eselshaut Rieslaner Trockenbeerenauslese 2001 0,375 l",NULL,NULL,0
21845,"Chateau Brane-Cantenac 1996 0,75 l",NULL,1,0
21846,"Anheuser, August Kreuznacher Mönchberg Riesling Auslese 1988 0,75 l",NULL,NULL,0
21847,"Bodegas Senorio Gran Paulet Reserva 1984 0,5 l",NULL,NULL,0
21848,"Domaine Saint-Ser Cuvee Prestige Rouge 2014 0,75 l",NULL,NULL,0
21849,"Mondavi/Rothschild Opus One 1981 0,75 l",NULL,1,0
21850,"La Rioja Alta Gran Reserva 904 2001 0,75 l",1,1,96
21851,"Chateau Marquis-de-Terme 1990 0,75 l(3)",NULL,1,0
21852,"Chateau Langoa-Barton 2008 0,75 l",1,1,90
21853,"Chateau Gruaud-Larose 1995 0,75 l(1)",1,NULL,91
21854,"Bodegas Castano Hoya Munoz 2005 0,75 l",NULL,1,0
21855,"Chateau Duhart-Milon-Rothschild 1986 0,75 l(2)",1,1,90
21856,"Chateau Mouton-Rothschild 1988 0,75 l",1,1,92
21857,"Chateau Mouton-Rothschild 1988 0,75 l",1,1,92
21858,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2005 0,75 l(1)",1,1,90
21859,"Umathum Pinot Noir Unter den Terrassen zu Jois 2007 0,75 l",NULL,1,0
21860,"Chateau Fourcas-Dupré 1996 0,75 l(1)",1,1,91
21861,"Bodegas Altanza Le Altanza Reserva ""Miro"" 2001 0,75 l",1,1,95
21862,"Bodegas Altanza Le Altanza Reserva ""Miro"" 2001 0,75 l",1,1,95
21863,"Mayr, Josephus Lamarein 2005 0,75 l",NULL,1,0
21864,"Domaine Saint-Ser Cuvee Prestige Rouge 2014 0,75 l",NULL,NULL,0
21865,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2009 0,75 l",1,NULL,91
21866,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2009 0,75 l",1,NULL,91
21867,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2009 0,75 l",1,1,91
21868,"Chateau Mouton-Rothschild 1991 0,75 l",NULL,1,0
21870,"Heredia, Lopez Vina Tondonia 1934 0,75 l",NULL,1,0
21871,"CVNE Reserva Especial 1952 0,75 l",NULL,NULL,0
21872,"Ziereisen Rhini Spätburgunder 2007 0,75 l",NULL,1,0
